Stock,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,TodayDiff,PercentageChange,Average Price,Total Traded Quantity,Turnover,No of Trades,Deliverable Qty,Dly Qt to Traded Qty,status
2,11/09/17,20764.05,20960,21268,20817,21199,21126.2,362.15,1.744,20991.09,7010,147147532.6,2967,3347,47.75,2
2,11/10/17,21126.2,20870,21178.4,20255,20610.55,20457.05,-669.15,-3.167,20557.09,45041,925911899.8,13617,18959,42.09,1
2,11/13/17,20457.05,20400,20600,19900,19910,19931.25,-525.8,-2.57,20031.8,24429,489356875.3,7718,15688,64.22,1
2,11/14/17,19931.25,19959,19988.95,19630,19652.1,19676.15,-255.1,-1.28,19729.46,15932,314329732.4,5753,10197,64,1
2,11/15/17,19676.15,19600,19699.95,19160.45,19191,19205.8,-470.35,-2.39,19359.62,13229,256108378.6,5929,6568,49.65,1
2,11/16/17,19205.8,19210,19359.35,19000,19250,19258.45,52.65,0.274,19187.48,14752,283053685.5,6565,7366,49.93,3
2,11/17/17,19258.45,19350,19549.95,18920,18962,18965.9,-292.55,-1.519,19115.06,29233,558790538.5,9539,18226,62.35,1
2,11/20/17,18965.9,19000,19450,18834,19419.7,19376.5,410.6,2.165,19145.47,25945,496729313.1,8136,15084,58.14,2
2,11/21/17,19376.5,19499.9,19538.05,19158,19170.5,19237.5,-139,-0.717,19354.54,17382,336420601.5,6644,10073,57.95,3
2,11/22/17,19237.5,19350,19378.6,18970,19020,19008.8,-228.7,-1.189,19090.8,16632,317518173.1,6259,9904,59.55,1
2,11/23/17,19008.8,19150,19185.55,18900,18975,18978.2,-30.6,-0.161,18995.06,12446,236412539.6,4268,7318,58.8,3
2,11/24/17,18978.2,18978.2,19058,18925.2,19000,18957.35,-20.85,-0.11,18970.58,12064,228861113.3,4041,7855,65.11,3
2,11/27/17,18957.35,18955,19066.4,18802.45,18920,18929.55,-27.8,-0.147,18927.01,17231,326131252.8,7502,10710,62.16,3
2,11/28/17,18929.55,18900,19025,18890.6,18990,18982.45,52.9,0.279,18973.01,10109,191798175.7,3808,6258,61.91,3
2,11/29/17,18982.45,19080,20176.25,18952.3,20050,20065.65,1083.2,5.706,19840.94,77162,1530966632,20613,22129,28.68,2
2,11/30/17,20065.65,20195,20652,19982.9,20275.05,20333.75,268.1,1.336,20404.26,81020,1653153359,25582,22296,27.52,2
2,12/01/17,20333.75,20498,21388.8,19821,19901,19988.15,-345.6,-1.7,20339.85,43713,889115724.7,12913,12209,27.93,1
2,12/04/17,19988.15,20000,20398.85,19847.8,20200.3,20103.4,115.25,0.577,20140.56,24074,484863947.2,8206,8871,36.85,3
2,12/05/17,20103.4,20230,20318.85,19780,19870.1,19894.2,-209.2,-1.041,19947.87,51143,1020194079,9288,34958,68.35,1
2,12/06/17,19894.2,19870.1,19987.95,19087.8,19130,19149.95,-744.25,-3.741,19389.04,28391,550474172.7,11148,10695,37.67,1
2,12/07/17,19149.95,19375,19824.2,19280,19685,19735.35,585.4,3.057,19593.79,52036,1019582463,10106,32801,63.04,2
2,12/08/17,19735.35,19800,19956.45,19478,19640,19550.25,-185.1,-0.938,19721.43,22138,436592916.9,7627,7907,35.72,3
2,12/11/17,19550.25,19800,20018.8,19560.5,19930.05,19927.3,377.05,1.929,19806.49,21742,430632692.7,6998,8946,41.15,2
2,12/12/17,19927.3,19980,20220.2,19737.7,19938.75,19952.75,25.45,0.128,19984.84,22591,451477558.1,6622,8153,36.09,3
2,12/13/17,19952.75,19950,20150.5,19750,19810.1,19864.8,-87.95,-0.441,19959.75,19682,392847793.4,7178,7086,36,3
2,12/14/17,19864.8,19832,19970.05,19412.1,19900,19880.2,15.4,0.078,19791.12,19341,382780015.2,6657,7954,41.13,3
2,12/15/17,19880.2,20000,20200,19601.25,19685.2,19730.3,-149.9,-0.754,19863.35,27418,544613242.6,10812,16081,58.65,3
2,12/18/17,19730.3,19700,20032.4,19370,19870.1,19883.4,153.1,0.776,19830.48,13739,272450977.6,5959,3008,21.89,3
2,12/19/17,19883.4,19885,20079.95,19810,19861,19868.05,-15.35,-0.077,19890.38,11120,221180976.7,4298,3717,33.43,3
2,12/20/17,19868.05,19868.05,20113.45,19719.7,19837.95,19844.15,-23.9,-0.12,19894.78,20612,410071138.2,7222,4661,22.61,3
2,12/21/17,19844.15,19949,20038,19805,19900,19883.4,39.25,0.198,19896.44,9026,179585243.9,3451,3570,39.55,3
2,12/22/17,19883.4,19883.4,19972.8,19835.05,19890,19926.5,43.1,0.217,19912.35,10446,208004399.3,3907,4524,43.31,3
2,12/26/17,19926.5,19900,20460,19872.6,20299,20290.7,364.2,1.828,20278.65,26344,534220814.6,9451,7927,30.09,2
2,12/27/17,20290.7,20350,20350,19999,20010.05,20092.75,-197.95,-0.976,20118.51,10852,218326116.6,4288,4308,39.7,3
2,12/28/17,20092.75,20100,20290,20000,20125,20072.6,-20.15,-0.1,20072.11,23658,474865961.7,6783,15484,65.45,3
2,12/29/17,20072.6,20110,20231.2,19942.15,20084,20165.55,92.95,0.463,20135.41,14246,286849002.9,5397,4597,32.27,3
2,01/01/18,20165.55,20165,20620,19702.4,19820,19791.9,-373.65,-1.853,19918.24,20401,406352000.4,5860,10110,49.56,1
2,01/02/18,19791.9,19850,19957,19575,19710,19721.75,-70.15,-0.354,19700.29,14797,291505121.7,5600,6303,42.6,3
2,01/03/18,19721.75,19799,19866.9,19650.1,19715,19692.95,-28.8,-0.146,19758.26,12104,239153982.1,5347,6969,57.58,3
2,01/04/18,19692.95,19790,19790,19580,19620,19652.65,-40.3,-0.205,19650.74,16677,327715326,5283,9114,54.65,3
2,01/05/18,19652.65,19700,19760.45,19588,19650,19693.15,40.5,0.206,19663.87,15105,297022741.4,3900,9147,60.56,3
2,01/08/18,19693.15,19700,20143.2,19650.05,19949,19998.35,305.2,1.55,19934.84,19162,381991471.8,7255,6808,35.53,2
2,01/09/18,19998.35,19970,19993.7,19780.1,19781,19830.1,-168.25,-0.841,19859.65,13251,263160173.6,3926,7426,56.04,3
2,01/10/18,19830.1,19899,19961.05,19700,19850,19811.15,-18.95,-0.096,19833.02,18250,361952604.9,5504,10391,56.94,3
2,01/11/18,19811.15,19838,20120.3,19732.7,19902,19954.7,143.55,0.725,19966.78,12507,249724492.6,5289,4895,39.14,3
2,01/12/18,19954.7,19954.7,20068.3,19660,19730,19771.6,-183.1,-0.918,19822.03,19820,392872625.1,5350,10816,54.57,3
2,01/15/18,19771.6,19800,19960.75,19710,19900,19903.65,132.05,0.668,19857.87,8708,172922344.8,3212,4588,52.69,3
2,01/16/18,19903.65,19911,20099,19815.2,19856,19859,-44.65,-0.224,19917.99,12326,245509184.6,5127,5423,44,3
2,01/17/18,19859,19857,20000,19700,19990,19954.25,95.25,0.48,19919.37,10905,217220687.1,5185,6324,57.99,3
2,01/18/18,19954.25,19980,20100,19850,19855.1,19903.7,-50.55,-0.253,19939.38,9788,195166657.2,4216,4857,49.62,3
2,01/19/18,19903.7,19903.7,20019.2,19810.1,19950,19976.15,72.45,0.364,19901.57,15241,303319892.7,3273,11583,76,3
2,01/22/18,19976.15,19920.2,20174.4,19875,19998,19981.5,5.35,0.027,19973.8,6083,121500610.2,2988,2551,41.94,3
2,01/23/18,19981.5,20000,20060.05,19639.1,19760,19776,-205.5,-1.028,19779.53,14150,279880408.7,5255,7539,53.28,1
2,01/24/18,19776,19776,19848.85,19700,19730,19730.3,-45.7,-0.231,19751,8531,168495766.1,3859,4890,57.32,3
2,01/25/18,19730.3,19740,19890,19506.2,19556.1,19642.5,-87.8,-0.445,19670.8,14671,288590237,5075,7175,48.91,3
2,01/29/18,19642.5,19635,19933,19517.6,19828,19879.2,236.7,1.205,19749.78,12310,243119732,5136,6669,54.18,2
2,01/30/18,19879.2,19850,19850,19400,19433,19495.55,-383.65,-1.93,19631.84,8399,164887858.2,4217,4533,53.97,1
2,01/31/18,19495.55,19495,19664.95,19291.1,19360,19400.25,-95.3,-0.489,19521.45,34590,675247047.6,6009,26019,75.22,3
2,02/01/18,19400.25,19475,19619,19300,19485,19517.85,117.6,0.606,19495.8,14331,279394367.2,4811,6506,45.4,3
2,02/02/18,19517.85,19420,19675,19300,19470,19474.4,-43.45,-0.223,19487.42,22653,441448536.6,8066,13317,58.79,3
2,02/05/18,19474.4,19299,20028.95,19246.45,20000,19951.55,477.15,2.45,19696.39,61031,1202090412,20278,19493,31.94,2
2,02/06/18,19951.55,19500,19899.95,19332.95,19617,19556.1,-395.45,-1.982,19605.07,31736,622186496.6,10073,17839,56.21,1
2,02/07/18,19556.1,19612,19756,19165.1,19300,19244.75,-311.35,-1.592,19414.2,23455,455359957.4,8846,12383,52.79,1
2,02/08/18,19244.75,19450,19700,19335.05,19600,19592.25,347.5,1.806,19559.27,19788,387038912.8,6550,11261,56.91,2
2,02/09/18,19592.25,19398,19579,19280.05,19440,19482.6,-109.65,-0.56,19441.23,19118,371677458.9,8363,10681,55.87,3
2,02/12/18,19482.6,19564.4,19649.95,19470.55,19489.6,19545.85,63.25,0.325,19569.76,5107,99942780.35,2247,2448,47.93,3
2,02/14/18,19545.85,19639.95,19639.95,19470,19471.1,19515.1,-30.75,-0.157,19533.93,6351,124059988.1,2188,2877,45.3,3
2,02/15/18,19515.1,19550,19641.4,19470,19503,19502.45,-12.65,-0.065,19520.52,6087,118821400.3,1902,2474,40.64,3
2,02/16/18,19502.45,19520,19640,19500.75,19545,19553.6,51.15,0.262,19562.41,5355,104756685.9,2235,1650,30.81,3
2,02/19/18,19553.6,19545,19633,19354,19400,19427.45,-126.15,-0.645,19495.8,6655,129744580.5,2286,2390,35.91,3
2,02/20/18,19427.45,19427.45,19525,19151,19435.45,19398.05,-29.4,-0.151,19371.72,8434,163381064.7,2769,3698,43.85,3
2,02/21/18,19398.05,19440,19494.6,19100.05,19125,19160.05,-238,-1.227,19253,13402,258028639,5345,7736,57.72,1
2,02/22/18,19160.05,19040,19094.1,18587.85,18840.05,18889.7,-270.35,-1.411,18845.97,38563,726757151.3,10843,19278,49.99,1
2,02/23/18,18889.7,18890,19021.45,18810.05,18924,18920.6,30.9,0.164,18914.28,11409,215792986.4,4100,5731,50.23,3
2,02/26/18,18920.6,18987.85,19299.5,18890.15,19070.05,19119.15,198.55,1.049,19131.63,11302,216225737.5,5173,5491,48.58,2
2,02/27/18,19119.15,19155.95,19232.4,18970,18985,19017.85,-101.3,-0.53,19031.87,6822,129835384.5,3096,3288,48.2,3
2,02/28/18,19017.85,18980,18980,18635,18650,18687.3,-330.55,-1.738,18732.34,16160,302714533.7,7456,10797,66.81,1
2,03/01/18,18687.3,18701.2,18759.65,18612.05,18680,18707.5,20.2,0.108,18688.13,13447,251299218.2,3431,7793,57.95,3
2,03/05/18,18707.5,18661.25,18707.5,18300,18325,18348,-359.5,-1.922,18420.55,13019,239817143.8,5141,6283,48.26,1
2,03/06/18,18348,18376.15,18466.3,18005.05,18081,18159.75,-188.25,-1.026,18152.55,27935,507091346.1,6012,18171,65.05,1
2,03/07/18,18159.75,18179,18179,17809,17840,17848.25,-311.5,-1.715,17933.76,13795,247396174.6,4404,5869,42.54,1
2,03/08/18,17848.25,17975,18150,17710,18119,18094.8,246.55,1.381,17922.19,15431,276557303.7,5092,7101,46.02,2
2,03/09/18,18094.8,18124,18255,18040.2,18200,18203.55,108.75,0.601,18179.18,7157,130108392.6,2804,3547,49.56,3
2,03/12/18,18203.55,18287,18310.4,18018.05,18240,18247.45,43.9,0.241,18165.8,8342,151539140,3219,3568,42.77,3
2,03/13/18,18247.45,18239,18500,18201.35,18475.1,18487.9,240.45,1.318,18425.99,8229,151627507.8,4321,4272,51.91,2
2,03/14/18,18487.9,18469,18469,18200,18275,18284.3,-203.6,-1.101,18307.35,7672,140454005.3,2265,3493,45.53,1
2,03/15/18,18284.3,18284.3,18317.1,18000,18010,18025.2,-259.1,-1.417,18136.32,36190,656353510.2,2954,32516,89.85,1
2,03/16/18,18025.2,18006,18189.95,17801.05,17912,17921.7,-103.5,-0.574,18060.87,49848,900298442.4,7515,40611,81.47,3
2,03/19/18,17921.7,17901,18078.1,17466.05,17500,17515.05,-406.65,-2.269,17692.47,15211,269120125,4786,8322,54.71,1
2,03/20/18,17515.05,17440,18000,17440,17945,17876.75,361.7,2.065,17769.25,15492,275281172.4,4276,9214,59.48,2
2,03/21/18,17876.75,17950,17974,17551,17562,17585.65,-291.1,-1.628,17708.71,13341,236251891.3,4947,7989,59.88,1
2,03/22/18,17585.65,17650,17733.9,17250,17315,17350.2,-235.45,-1.339,17440.03,15389,268384648.8,4626,8790,57.12,1
2,03/23/18,17350.2,17200,17479,16975,17350,17361.8,11.6,0.067,17209.35,21555,370947432.6,7775,11048,51.25,3
2,03/26/18,17361.8,17361.8,17450,17181.7,17241.1,17291.6,-70.2,-0.404,17258.69,20667,356685422.3,3115,16049,77.66,3
2,03/27/18,17291.6,17301,17778.55,17301,17682.05,17687.8,396.2,2.291,17582.27,16081,282740491.1,5510,7569,47.07,2
2,03/28/18,17687.8,17656.6,18499.95,17251,18200,18017.55,329.75,1.864,17994.53,174111,3133044909,25132,128235,73.65,2
2,04/02/18,18017.55,18300,19201.45,17777.75,18522,18515,497.45,2.761,18530.69,45197,837531671.2,14134,16097,35.62,2
2,04/03/18,18515,18700,19199.85,18450,19142,19063.45,548.45,2.962,18911.24,33949,642017688.2,8768,11698,34.46,2
2,04/04/18,19063.45,19180,19975,19076.4,19649.35,19685.45,622,3.263,19642.46,32374,635904868.6,9768,7564,23.36,2
2,04/05/18,19685.45,19939,20000,19191.15,19500.05,19538.9,-146.55,-0.744,19572.52,35426,693375967.6,9119,11142,31.45,3
4,11/09/17,119.15,120,121.45,112.1,115.6,115.35,-3.8,-3.189,116.43,21316008,2481780562,86598,7445694,34.93,1
4,11/10/17,115.35,116.75,117.05,111.1,111.9,111.95,-3.4,-2.948,112.98,16705495,1887312219,145484,7283440,43.6,1
4,11/13/17,111.95,112.45,113.75,107.7,113.5,113.3,1.35,1.206,111.12,21319577,2369084051,131622,7996818,37.51,2
4,11/14/17,113.3,114.75,114.9,112.25,113.6,113.95,0.65,0.574,113.84,15327606,1744837620,63022,5831108,38.04,3
4,11/15/17,113.95,114,115.75,112.75,113.8,113.4,-0.55,-0.483,114.29,11164273,1275950714,44257,3624116,32.46,3
4,11/16/17,113.4,114.3,115,111.85,114.2,114.2,0.8,0.705,113.89,8342249,950116130.5,44459,2969594,35.6,3
4,11/17/17,114.2,115.7,117.2,115.5,115.85,116,1.8,1.576,116.36,10574972,1230452971,42941,4621048,43.7,2
4,11/20/17,116,116.4,117.25,114.35,114.95,114.95,-1.05,-0.905,115.34,9459111,1091022404,49065,4503064,47.61,3
4,11/21/17,114.95,115.35,115.6,113.6,114.35,114.75,-0.2,-0.174,114.69,11545276,1324126438,73561,5736246,49.68,3
4,11/22/17,114.75,114.2,114.7,110.7,113.8,113.35,-1.4,-1.22,112.48,23545581,2648413896,99845,11801431,50.12,1
4,11/23/17,113.35,113.9,115,112.3,114.7,114.7,1.35,1.191,113.7,13659083,1552975896,43194,5406903,39.58,2
4,11/24/17,114.7,114,119.4,114,118.45,118.45,3.75,3.269,117.33,15401284,1807005938,54687,5656088,36.72,2
4,11/27/17,118.45,118.3,124,118,123.4,123.6,5.15,4.348,122.08,24232866,2958317897,89326,8193836,33.81,2
4,11/28/17,123.6,123.75,123.75,120.5,121.3,121.4,-2.2,-1.78,121.97,9602574,1171203129,43426,2954652,30.77,1
4,11/29/17,121.4,121.3,122.25,119.7,120.8,120.85,-0.55,-0.453,120.79,9549129,1153431577,35071,4026458,42.17,3
4,11/30/17,120.85,120.4,120.45,117.35,119,117.85,-3,-2.482,118.56,13517247,1602621676,49423,7218657,53.4,1
4,12/01/17,117.85,119.2,123.2,119.2,120.15,120.05,2.2,1.867,121.51,21469285,2608759912,63889,5172137,24.09,2
4,12/04/17,120.05,122.45,122.45,115.4,116.65,116.35,-3.7,-3.082,118.6,14612462,1732966419,52163,3747315,25.64,1
4,12/05/17,116.35,116.35,116.35,112.55,114.05,114.05,-2.3,-1.977,113.91,15039479,1713200674,60156,5034036,33.47,1
4,12/06/17,114.05,114,115.95,112.5,114.4,114.45,0.4,0.351,114.68,9390524,1076877207,47053,2587945,27.56,3
4,12/07/17,114.45,114.85,117.35,114.6,117.35,116.9,2.45,2.141,116.32,8391644,976132648.1,37832,2392374,28.51,2
4,12/08/17,116.9,117.5,119.35,117.1,118.75,118.55,1.65,1.411,118.73,10420608,1237192656,37837,3922054,37.64,2
4,12/11/17,118.55,120.35,120.4,117.4,117.8,117.9,-0.65,-0.548,118.54,7720936,915245809.9,34496,2339370,30.3,3
4,12/12/17,117.9,117.45,117.7,113.2,113.8,113.8,-4.1,-3.478,115.09,12071975,1389363479,52209,3722797,30.84,1
